suite,case_id,backend,status,result,expected,elapsed_sec,error_type,error_message,tags,source
growing,fourletter_025,propositionalwfomc,error,,1518,19.290256,GanakError,ganak exited with code 255,fourletter;set;tuple;position;count;growing;family=fourletter;domain=25,four-letter arrangements
growing,fourletter_025,coso,solved,1518,1518,0.201620,,,fourletter;set;tuple;position;count;growing;family=fourletter;domain=25,four-letter arrangements
growing,fourletter_025,asp,solved,1518,1518,2.780068,,,fourletter;set;tuple;position;count;growing;family=fourletter;domain=25,four-letter arrangements
growing,fourletter_025,essence,solved,1518,1518,6.255137,,,fourletter;set;tuple;position;count;growing;family=fourletter;domain=25,four-letter arrangements
growing,fourletter_030,wfomc,solved,2268,2268,1.334284,,,fourletter;set;tuple;position;count;growing;family=fourletter;domain=30,four-letter arrangements
growing,fourletter_030,propositionalwfomc,error,,2268,26.682197,GanakError,ganak exited with code 255,fourletter;set;tuple;position;count;growing;family=fourletter;domain=30,four-letter arrangements
growing,fourletter_030,coso,solved,2268,2268,0.192009,,,fourletter;set;tuple;position;count;growing;family=fourletter;domain=30,four-letter arrangements
growing,fourletter_030,asp,solved,2268,2268,8.467827,,,fourletter;set;tuple;position;count;growing;family=fourletter;domain=30,four-letter arrangements
growing,fourletter_030,essence,solved,2268,2268,10.205031,,,fourletter;set;tuple;position;count;growing;family=fourletter;domain=30,four-letter arrangements
growing,fourletter_035,wfomc,solved,3168,3168,1.824235,,,fourletter;set;tuple;position;count;growing;family=fourletter;domain=35,four-letter arrangements
growing,fourletter_035,propositionalwfomc,error,,3168,36.639503,GanakError,ganak exited with code 255,fourletter;set;tuple;position;count;growing;family=fourletter;domain=35,four-letter arrangements
growing,fourletter_035,coso,solved,3168,3168,0.214495,,,fourletter;set;tuple;position;count;growing;family=fourletter;domain=35,four-letter arrangements
growing,fourletter_035,asp,solved,3168,3168,21.455777,,,fourletter;set;tuple;position;count;growing;family=fourletter;domain=35,four-letter arrangements
growing,fourletter_035,essence,solved,3168,3168,11.277879,,,fourletter;set;tuple;position;count;growing;family=fourletter;domain=35,four-letter arrangements
growing,fourletter_040,wfomc,solved,4218,4218,1.777618,,,fourletter;set;tuple;position;count;growing;family=fourletter;domain=40,four-letter arrangements
growing,fourletter_040,propositionalwfomc,error,,4218,46.010701,GanakError,ganak exited with code 255,fourletter;set;tuple;position;count;growing;family=fourletter;domain=40,four-letter arrangements
growing,fourletter_040,coso,solved,4218,4218,0.202911,,,fourletter;set;tuple;position;count;growing;family=fourletter;domain=40,four-letter arrangements
growing,fourletter_040,asp,solved,4218,4218,51.547384,,,fourletter;set;tuple;position;count;growing;family=fourletter;domain=40,four-letter arrangements
growing,fourletter_040,essence,solved,4218,4218,13.402182,,,fourletter;set;tuple;position;count;growing;family=fourletter;domain=40,four-letter arrangements
growing,fourletter_045,wfomc,solved,5418,5418,2.166560,,,fourletter;set;tuple;position;count;growing;family=fourletter;domain=45,four-letter arrangements
growing,fourletter_045,propositionalwfomc,error,,5418,58.209339,GanakError,ganak exited with code 255,fourletter;set;tuple;position;count;growing;family=fourletter;domain=45,four-letter arrangements
growing,fourletter_045,coso,solved,5418,5418,0.200186,,,fourletter;set;tuple;position;count;growing;family=fourletter;domain=45,four-letter arrangements
growing,fourletter_045,asp,unsolved,,5418,100.106393,TimeoutError,Timed out after 100.000s,fourletter;set;tuple;position;count;growing;family=fourletter;domain=45,four-letter arrangements
growing,fourletter_045,essence,solved,5418,5418,16.477506,,,fourletter;set;tuple;position;count;growing;family=fourletter;domain=45,four-letter arrangements
growing,fourletter_050,wfomc,solved,6768,6768,2.665115,,,fourletter;set;tuple;position;count;growing;family=fourletter;domain=50,four-letter arrangements
growing,fourletter_050,propositionalwfomc,error,,6768,72.111940,GanakError,ganak exited with code 255,fourletter;set;tuple;position;count;growing;family=fourletter;domain=50,four-letter arrangements
growing,fourletter_050,coso,solved,6768,6768,0.203062,,,fourletter;set;tuple;position;count;growing;family=fourletter;domain=50,four-letter arrangements
growing,fourletter_050,asp,timeout,,6768,0.000000,SkippedAfterTimeout,Skipped because asp already timed out for this growing family at domain 45; timeout budget was 100.000s.,fourletter;set;tuple;position;count;growing;family=fourletter;domain=50,four-letter arrangements
growing,fourletter_050,essence,solved,6768,6768,19.927695,,,fourletter;set;tuple;position;count;growing;family=fourletter;domain=50,four-letter arrangements
growing,fourletter_055,wfomc,solved,8268,8268,3.135625,,,fourletter;set;tuple;position;count;growing;family=fourletter;domain=55,four-letter arrangements
growing,fourletter_055,propositionalwfomc,error,,8268,80.411855,GanakError,ganak exited with code 255,fourletter;set;tuple;position;count;growing;family=fourletter;domain=55,four-letter arrangements
growing,fourletter_055,coso,solved,8268,8268,0.204409,,,fourletter;set;tuple;position;count;growing;family=fourletter;domain=55,four-letter arrangements
growing,fourletter_055,asp,timeout,,8268,0.000000,SkippedAfterTimeout,Skipped because asp already timed out for this growing family at domain 45; timeout budget was 100.000s.,fourletter;set;tuple;position;count;growing;family=fourletter;domain=55,four-letter arrangements
growing,fourletter_055,essence,solved,8268,8268,23.045801,,,fourletter;set;tuple;position;count;growing;family=fourletter;domain=55,four-letter arrangements
